country_code,gdp_growth_per_capita,electricity_consumption,population_growth,urbanization_rate,energy_use_per_capita,fossil_fuel_consumption,renewable_energy_gap,electricity_access,political_stability,regulatory_quality,rule_of_law,control_of_corruption,energy_imports,alternative_nuclear_energy
BGD,5.4284950005814245,534.5933393979412,0.9274339802785114,31.281349147662166,278.57921214792583,0.0,26.325,95.53333333333335,-0.9703360398610433,-0.8967979451020557,-0.5980440378189087,-1.0218112866083782,34.64614898236901,0.254
BRA,1.269303507400612,2725.776090431378,0.5160425201464348,87.0224491987064,1423.8048117755368,0.0,47.725,99.75,-0.4740330924590428,-0.19401181861758232,-0.2711136490106582,-0.48119100431601197,-6.809977358555533,15.703333333333333
CHL,1.1100617912207282,4268.297700805603,0.9596520244859487,88.3843691911005,2060.9213297923484,0.0,25.425,100.0,0.14506069043030337,1.0413293937842056,0.8330130279064177,0.9893775383631386,66.83672465262983,9.308333333333332
CIV,2.7277893372370037,292.08140067300417,2.556733042211557,52.10570252704539,407.639674246895,0.0,60.39999999999999,70.18333333333334,-0.8169644077618923,-0.24550320332249,-0.5777255545059842,-0.448102096716563,9.629123745691745,2.2960000000000003
COL,1.486076395564843,1510.6719024226015,1.3912107419667317,77.75571329854016,850.4482070372136,0.0,30.900000000000002,99.38333333333334,-0.798237343629201,0.20201577742894483,-0.43719840546449046,-0.3189630409081779,-171.56681231528717,11.61
ETH,3.6649400823499736,90.786306720621,2.666263170119467,21.926768302917466,380.68873220958204,0.0,90.15,51.48333333333334,-1.7593467036883033,-0.9637197554111486,-0.5431654304265977,-0.4416385740041732,10.948895775254877,2.966
GHA,2.16666915339237,502.48710224502463,1.9771225835914386,56.4856009896638,358.601495715059,0.0,40.925,85.03333333333335,0.016832118543485743,-0.17210431148608532,-0.05086170167972635,-0.11094721158345533,-32.11274783738764,5.5040000000000004
IDN,2.8288563299654172,1213.1356839949383,0.8414112475078742,56.59999896354926,891.1271524240775,0.0,20.974999999999998,98.83333333333333,-0.5010345280170438,0.16969856247305884,-0.2704728469252585,-0.43335356811682385,-90.25800742279505,11.76
KEN,2.7426630940208447,181.743495504341,1.9604957055250318,31.356943293314885,541.8299510701617,0.0,68.375,71.85,-1.035034338633221,-0.3922841797272361,-0.42297774553298967,-0.8015922804673513,22.450166474665533,17.62
KHM,3.0063199045231985,689.6854180001707,1.3446281565285467,39.694832766883714,489.8818563649912,0.0,53.725,86.81666666666668,-0.05978073490162683,-0.6479588250319163,-0.9430413643519091,-1.281907935937245,,5.55
MAR,1.0032500731834344,950.899166433638,1.0328377736605299,62.16814937553695,597.845064529522,0.0,10.9,99.61666666666667,-0.364377404252688,-0.12444012550016241,-0.2078006962935128,-0.39601562917232513,93.07481262421805,3.9833333333333343
MEX,0.2174347330130965,2420.1365743189513,0.8349836139707886,78.77777414344445,1472.1317081434183,0.0,11.475000000000001,99.7,-0.7191361586252848,-0.08126860763877632,-0.7375229398409527,-0.973591367403666,17.33024925944998,6.413333333333333
MYS,1.8760765619751687,4855.79407381776,1.3693601368122135,75.39648276376097,2820.1901108339976,0.0,6.375,100.0,0.1519412603229285,0.6349099278450013,0.5432159403959912,0.24203172326087952,-0.3510967761080608,2.7020000000000004
NGA,-1.0679735733097449,139.49697292152098,2.1540440982194133,60.16661913274563,324.110530512574,0.0,80.75,58.083333333333336,-1.8762368162473033,-0.9800495902697239,-0.8950961232185363,-1.0979140996933,-115.22881194742703,1.026
PER,0.537968046731431,1526.2049691679022,1.290076590578342,83.73515498851604,770.1672897154618,0.0,29.299999999999997,95.83333333333333,-0.36039338012536365,0.3327346704900264,-0.5155206173658372,-0.6358256936073305,6.138773203434278,11.596
PHL,2.586082543693722,849.6499303939902,1.0124450485591325,54.2328939926117,541.260678761698,0.0,27.9,96.03333333333335,-0.8347183465957636,0.08858941371242196,-0.5658034036556879,-0.5503537853558859,50.80776010434354,16.476
SEN,1.7973424628056651,338.9379843930233,2.590769356940809,51.71159321745902,292.45607039291633,0.0,36.125,68.46666666666667,-0.11480670049786575,-0.263575941324234,-0.2836022352178893,0.004787525511346752,67.90364468048834,1.1583333333333334
THA,0.9452008625282868,2777.170004545191,0.12652028837162457,57.82203547159832,1898.8040122427867,0.0,21.875,99.93333333333334,-0.5185858011245726,0.06740521204968289,0.10010583202044165,-0.4723999599615732,53.18453836999195,0.915
TZA,1.4718682038727227,116.49358607007142,2.99724814793351,34.11321325227632,406.55424493198564,0.0,80.2,41.550000000000004,-0.3497262944777808,-0.631766398747762,-0.5238807002703346,-0.3952776094277701,13.10622778984128,0.96
VNM,4.712597700314787,2347.45565867837,0.8824640706153288,36.07790192652022,969.8912415726418,0.0,21.95,99.83333333333333,-0.027702327196796734,-0.36698230107625335,-0.1152541451156139,-0.4073022256294887,36.091901747291885,8.678
