country_code,2018,2019,2020,2021,2022,2023
BGD,30.5175656009959,30.8228396343012,31.1168927321524,31.3992156886061,31.673734726234,32.1578465036834
BRA,86.4420719945072,86.6797991084296,86.9112186503004,87.1360781715439,87.349556243881,87.6159710235763
CHL,87.9620493753008,88.1273685623538,88.2953490438375,88.4660511664452,88.6395352768685,88.8158617217972
CIV,50.8718477756395,51.3514799771241,51.8357660823651,52.3183461956059,52.8492549676673,53.4075201638704
COL,77.2804816598084,77.4595528518377,77.6382533537045,77.8339570326128,78.0464633137335,78.275571579544
ETH,20.7838096618652,21.2486705780029,21.6260051727295,22.1067085266113,22.7367687225342,23.0586471557617
GHA,55.218477566593,55.7246279109161,56.2171613974837,56.6952556826536,57.250609602871,57.8074737774654
IDN,55.0956840515137,55.7382049560547,56.2785287648768,56.8761702464027,57.4934704226599,58.1179353397878
KEN,31.3940041639796,31.1895566421135,31.2063494632616,31.2879334021971,31.4307820066946,31.6330340816429
KHM,37.6404336372742,39.5830241256026,39.832658030922,40.1091858128847,40.374616187368,40.6290788072508
MAR,61.5695822753314,61.8430450233765,62.0933436005366,62.3173276600289,62.5118468550703,62.673750838878
MEX,78.0271223924494,78.355984332992,78.677960602824,78.9324007418057,79.199683215791,79.4734935748046
MYS,74.5634625145296,74.8377707734042,75.0511895575672,75.5088628191907,75.9741357073003,76.4434752105739
NGA,58.1553347527729,58.9611186427056,59.7659654848781,60.5698545383604,61.3727650622225,62.1746763155343
PER,82.6854929960921,83.1033003087105,83.5267437189637,83.9480118272361,84.3663554951194,84.7810255849745
PHL,53.2088897464754,53.7157859948017,54.1077719895977,54.4504102510776,54.7902343568327,55.1242716168851
SEN,48.9001692274485,49.9443321273477,51.0562950093282,52.2260292191155,53.4435061024348,54.6992276190794
THA,54.5843734741211,55.9266166687012,57.2358779907227,58.5087776184082,59.742374420166,60.9341926574707
TZA,32.8287423010834,33.3475258518752,33.8547246036273,34.3500111758619,34.8234736377147,35.4748019434954
VNM,33.9410227821412,34.6239134999511,35.5706676299742,36.6540656426603,37.5478515625,38.1298904418945
