country_code,2018,2019,2020,2021,2022,2023
BGD,-0.649216711521149,-0.643474996089935,-0.565531194210052,-0.62569397687912,-0.601690113544464,-0.502657234668732
BRA,-0.30234295129776,-0.224319815635681,-0.231919765472412,-0.301417380571365,-0.257879137992859,-0.308802843093872
CHL,0.940260529518127,0.924216628074646,0.930162131786346,0.889890670776367,0.688454449176788,0.625093758106232
CIV,-0.60271030664444,-0.610495507717133,-0.656908571720123,-0.661023557186127,-0.47401824593544,-0.461197137832642
COL,-0.383742153644562,-0.391183972358704,-0.491402626037598,-0.470828503370285,-0.427760243415833,-0.458272933959961
ETH,-0.444717615842819,-0.482023179531097,-0.402888596057892,-0.623265862464905,-0.635894060134888,-0.670203268527985
GHA,0.0510871484875679,0.0127408038824797,-0.0821285173296928,-0.107684418559074,-0.0795473381876945,-0.0996378883719444
IDN,-0.314401388168335,-0.347653895616531,-0.365602731704712,-0.253444284200668,-0.1881303191185,-0.153604462742805
KEN,-0.42828243970871,-0.464812368154526,-0.579112708568573,-0.42144787311554,-0.317989438772202,-0.326221644878387
KHM,-1.13500821590424,-0.954927742481232,-0.96412593126297,-0.919177949428558,-0.865880906581879,-0.819127440452576
MAR,-0.248644605278969,-0.23337709903717,-0.186950773000717,-0.243680879473686,-0.206644892692566,-0.127505928277969
MEX,-0.641221523284912,-0.657918453216553,-0.642182171344757,-0.807996511459351,-0.869425058364868,-0.806393921375275
MYS,0.529206156730652,0.4915691614151,0.573119819164276,0.532065808773041,0.561419248580933,0.571915447711945
NGA,-0.917605757713318,-0.938441932201385,-0.842042088508606,-0.870812594890594,-0.913985073566437,-0.887689292430878
PER,-0.56674337387085,-0.520058035850525,-0.382843524217606,-0.532514691352844,-0.552831411361694,-0.538132667541504
PHL,-0.565135478973389,-0.57440197467804,-0.652070105075836,-0.666802585124969,-0.518263161182404,-0.41814711689949
SEN,-0.224594131112099,-0.215208232402802,-0.320803761482239,-0.398609578609467,-0.268764853477478,-0.273632854223251
THA,-0.00403118878602982,0.0887417942285538,0.111505389213562,0.0937988311052322,0.0657474175095558,0.244872748851776
TZA,-0.573051035404205,-0.567784249782562,-0.615206003189087,-0.551462709903717,-0.462281912565231,-0.373498290777206
VNM,-0.0354671441018581,-0.050392884761095,-0.189501881599426,-0.172221630811691,-0.158469453454018,-0.0854718759655952
