country_code,2018,2019,2020,2021,2022,2023
BGD,-0.849186778068542,-0.937222182750702,-0.906213521957397,-0.84635329246521,-0.927658915519714,-0.914152979850769
BRA,-0.293125450611115,-0.121404096484184,-0.111011527478695,-0.121613994240761,-0.220437631011009,-0.29647821187973
CHL,1.30045235157013,1.15849316120148,0.948647737503052,0.936240255832672,0.978411138057709,0.925731718540192
CIV,-0.254712522029877,-0.300067454576492,-0.381347745656967,-0.268797159194946,-0.152012959122658,-0.116081379354
COL,0.224889174103737,0.317910939455032,0.225666418671608,0.20214469730854,0.140449166297913,0.101034268736839
ETH,-0.984722435474396,-0.910632014274597,-0.975501298904419,-0.941965937614441,-0.94841742515564,-1.0210794210434
GHA,-0.141936391592026,-0.185462951660156,-0.130579710006714,-0.215175911784172,-0.178818702697754,-0.18065220117569
IDN,-0.0218164678663015,0.0289513897150755,0.216156706213951,0.287561029195786,0.205959960818291,0.301378756761551
KEN,-0.265344053506851,-0.338947534561157,-0.51719057559967,-0.460586369037628,-0.380829960107803,-0.390806585550308
KHM,-0.536904513835907,-0.609220564365387,-0.6611088514328,-0.686099588871002,-0.709801018238068,-0.684618413448334
MAR,-0.259155303239822,-0.154595121741295,-0.0479148365557194,-0.133877843618393,-0.0868896543979645,-0.0642079934477806
MEX,0.0843754634261131,0.0125951962545514,-0.0129100447520614,-0.251374453306198,-0.148309499025345,-0.171988308429718
MYS,0.575907409191132,0.547572374343872,0.666613459587097,0.714465439319611,0.644006609916687,0.660894274711609
NGA,-0.878198742866516,-0.940476417541504,-1.02443432807922,-0.944378197193146,-1.15594470500946,-0.936865150928497
PER,0.443382769823074,0.517202258110046,0.471264183521271,0.0637786462903023,0.20857498049736,0.292205184698105
PHL,0.0287664085626602,0.100199609994888,0.113156676292419,0.0623732283711433,0.0627855956554413,0.16425496339798
SEN,-0.147642567753792,-0.175264254212379,-0.294217169284821,-0.322730869054794,-0.296521306037903,-0.345079481601715
THA,-0.0440966561436653,-0.0219450928270817,0.0636607557535172,0.0835350751876831,0.165019407868385,0.158257782459259
TZA,-0.640993356704712,-0.668204069137573,-0.68933516740799,-0.640137732028961,-0.563533365726471,-0.588394701480865
VNM,-0.372491270303726,-0.375260800123215,-0.236916333436966,-0.404661357402802,-0.429956316947937,-0.382607728242874
