country_code,2018,2019,2020,2021,2022,2023
BGD,471.126089137386,515.10173042395,509.945926958218,574.118203146015,602.674747324137,
BRA,2640.41643831267,2661.18328561313,2624.84323723758,2723.96659104663,2787.76089640442,2916.48609397384
CHL,4172.29678141718,4218.62068793083,4166.72173286725,4306.7208858565,4422.43342670673,4322.99269005513
CIV,259.756592707161,278.827988881925,290.017976203655,308.099910201629,323.704535370651,
COL,1466.90025072176,1531.81900651769,1470.27462790488,1514.11928689074,1528.08546083702,1552.83278166352
ETH,91.919211356599,92.3124380650632,93.3839345037291,83.8801247645011,92.4358249132126,
GHA,444.388811977184,469.785528590296,503.546668885278,542.211680584058,552.502821188307,
IDN,1065.26035758244,1107.15140125038,1119.6155596619,1210.58446671469,1330.98768392036,1445.21463483986
KEN,178.142110438668,175.810605144907,172.643819770653,184.426039295693,189.355465367737,190.082933008388
KHM,553.380308189697,650.494645326608,705.929171274907,725.390524089204,813.232441120437,
MAR,923.0251541863,940.186570352384,916.187662173799,950.467605491107,978.27258674367,997.255419654568
MEX,2499.62048573796,2392.19041418722,2354.26835282225,2294.2518523653,2371.96646124361,2608.52187955737
MYS,4778.58945925229,4916.00089902704,4737.97858325564,4860.27830199398,4986.12312555985,
NGA,139.617321282156,138.391346832216,141.081956971933,142.790930090716,135.603309430584,
PER,1536.51135459037,1561.29701768941,1413.12448385784,1531.64376685862,1588.44822284327,
PHL,829.103019663211,866.813544333681,820.957907826593,846.694921660693,884.680258485773,
SEN,271.6391054245,310.52554399758,312.164609920211,329.600129888931,399.521774928173,410.176742198745
THA,2700.1763433937,2774.0170610634,2673.06020629053,2722.00282034748,2828.55049009394,2965.2131060821
TZA,110.956072067997,114.964301328413,112.148371475424,120.92869930568,123.470486172843,
VNM,2115.35402394159,2290.2681069016,2303.70986644863,2403.54540306818,2624.40089303185,
