country_code,2018,2019,2020,2021,2022,2023
BGD,-0.985569059848785,-0.928628742694855,-0.915816903114319,-1.03688275814056,-1.046462059021,-0.908656716346741
BRA,-0.459598511457443,-0.714224636554718,-0.44689092040062,-0.419879764318466,-0.395036935806274,-0.408567786216736
CHL,0.412769764661789,-0.0161215793341398,0.0440445058047771,0.161427184939384,0.13208432495594,0.13615994155407
CIV,-0.89799964427948,-1.036496758461,-1.03321969509125,-0.715015649795532,-0.587266504764557,-0.631788194179535
COL,-0.806941986083984,-0.979486107826233,-0.701150059700012,-0.954574346542358,-0.62995833158493,-0.717313230037689
ETH,-1.27460920810699,-1.30376279354095,-1.75370299816132,-2.18383121490479,-2.07060623168945,-1.96956777572632
GHA,-0.0366430282592773,0.118526868522167,0.169901907444,0.0658524557948112,-0.195024788379669,-0.0216207038611174
IDN,-0.552034020423889,-0.502143025398254,-0.462311387062073,-0.531449198722839,-0.553894221782684,-0.404375314712524
KEN,-1.17971229553223,-1.10576343536377,-1.00724005699158,-1.03243744373322,-0.947280883789062,-0.937771916389465
KHM,0.110921673476696,-0.0754886493086815,-0.209065958857536,-0.131522253155708,-0.0980230420827866,0.0444938205182552
MAR,-0.3484927713871,-0.345805376768112,-0.359523236751556,-0.40256267786026,-0.362119138240814,-0.367761224508286
MEX,-0.673847019672394,-0.841869175434113,-0.791455745697021,-0.687615871429443,-0.689268112182617,-0.630761027336121
MYS,0.248113676905632,0.14648012816906,0.125864699482918,0.0595565475523472,0.163117811083794,0.16851469874382
NGA,-2.09752702713013,-1.93315482139587,-1.89201462268829,-1.78738462924957,-1.77890145778656,-1.7684383392334
PER,-0.276880770921707,-0.163622617721558,-0.35772293806076,-0.355252951383591,-0.487095445394516,-0.52178555727005
PHL,-1.09620380401611,-0.9280606508255,-0.778704285621643,-0.984022319316864,-0.655268549919128,-0.566050469875336
SEN,-0.107357509434223,0.0375764071941376,-0.143102943897247,-0.179771110415459,-0.157593667507172,-0.138591378927231
THA,-0.799416124820709,-0.491406112909317,-0.578270494937897,-0.56877988576889,-0.393339306116104,-0.280302882194519
TZA,-0.580475687980652,-0.388420015573502,-0.480807662010193,-0.33555868268013,-0.260344117879868,-0.0527516007423401
VNM,0.0330829620361328,0.0399874038994312,-0.0389890633523464,-0.117782436311245,-0.0461320951581001,-0.0363807342946529
