country_code,2018,2019,2020,2021,2022,2023
BGD,24.5741159464946,30.2974940894337,34.4620400337636,39.5900689972266,44.3070258449266,
BRA,-0.816754027000633,-4.05963612353002,-11.1677354621271,-3.84763107467013,-7.28721052757992,-13.6808969364254
CHL,67.6635625998358,69.2258871522885,66.7182391849769,68.8632430428331,66.2732116154234,62.2762043204213
CIV,7.79211013980921,4.60104644318652,8.14378558490739,13.2300673339274,14.3786092266282,
COL,-228.78509726312,-181.414112402675,-192.845620308305,-145.26017037422,-139.124198035696,-141.971675507707
ETH,11.2365271440852,12.0449116177875,9.52569897811929,11.1448450149397,10.7924961213427,
GHA,-33.6512710092446,-43.1680481770753,-35.645638723023,-25.7331290522235,-22.3656522253718,
IDN,-98.0132758893818,-99.1816488656438,-86.9479731245526,-84.9370547688609,-82.9192756077432,-89.548816280588
KEN,23.1133767187919,22.909546251785,21.1289387202784,22.7369704105015,22.4376210703247,22.3745456763117
KHM,,,60.5868013956178,58.9313079941395,,
MAR,96.2868283378303,92.4272836757783,90.7321703373659,91.3557010365519,94.0020118503931,93.6448805073888
MEX,16.7913179157596,18.2994397147,10.8895496628123,15.3117558234424,21.1050764879457,21.5843559520399
MYS,-2.31632847100387,0.419441769978299,1.4599273272106,-0.739797820685311,-0.578726686040022,
NGA,-170.338239044965,-145.342625520286,-111.878018224454,-82.2970757618261,-66.2881011856041,
PER,4.91538634948173,4.68863793500811,-2.70251693778025,11.6063935673998,12.185965103062,
PHL,54.0743638042794,48.6161448916357,47.0174525151428,49.9057625438824,54.4250767667774,
SEN,70.323978098796,70.1843816195644,62.0675494808567,66.4285714285714,69.3863916678086,69.030995787333
THA,51.1007781069847,48.6312117750796,51.2390033904315,53.4974617478355,57.1245185678327,57.5142566317877
TZA,12.790612470264,13.1368354638669,12.9523057284495,13.7175290346047,12.9338562520213,
VNM,26.8530098738827,39.207047800102,46.4252856536063,33.9749706257745,33.9991947830939,
